"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha123",0.0559400298946288,0,0.986,0.89,-0.056,0.2514,1289.956,-0.493091208780389,0.492409522206351,-0.000394991785478014
"alpha124",-0.0244942508666603,-0.026,0.979,0.93,-0.001,0.25,1413.707,-0.514870705925675,0.46448372013594,-0.0257296834147314
"alpha125",-0.0648375146653215,-0.047,0.983,0.99,0.018,0.2505,1380.953,-0.538470705165941,0.444054043547979,-0.0470681768577645
"alpha126",0.00856149713317872,0.012,0.989,0.93,0.004,0.2529,1296.482,-0.482208383558019,0.506467065634994,0.0116396769700966
"alpha127",0.0643329429609495,0.022,0.982,0.91,-0.043,0.2507,1360.451,-0.467440036775104,0.514844521713399,0.0217140656907354
"alpha128",0.0465841069633936,0.073,0.979,0.98,0.027,0.2497,1356.701,-0.414528637440828,0.564475539829364,0.0732266293418754
"alpha129",-0.0574405062197313,-0.054,0.977,0.97,0.003,0.2498,1373.048,-0.543308293326723,0.433766726642833,-0.0544932273449742
"alpha13",-0.00476820632870194,-0.001,1.395,0.96,0.004,0.3545,1276.302,-0.701310024310008,0.693979273539546,-0.00199238448846765
"alpha130",-0.00409747133156139,-0.005,0.984,0.94,0,0.2511,1345.991,-0.497272949133854,0.486595591022927,-0.00452560774775897
"alpha131",0.00703019449010982,0.012,0.981,0.95,0.005,0.2506,1397.269,-0.479881951756145,0.500956466784383,0.01132819404752
"alpha132",-0.0278175732811394,0.029,0.985,0.95,0.057,0.2517,1328.777,-0.464508889744884,0.52095140491925,0.0292819143095636
"alpha133",0.126316607140879,0.116,0.988,0.95,-0.01,0.2516,1323.519,-0.37886577076226,0.608801538891435,0.115369947457446
"alpha134",0.0578715070888389,0.009,0.977,0.94,-0.049,0.2498,1385.807,-0.480813932054209,0.496680471272901,0.00875978635060165
"alpha135",-0.0809401206862612,-0.052,0.979,0.97,0.029,0.2506,1361.468,-0.541181454089035,0.438302711754088,-0.0516081323978399
"alpha136",-0.028387704106559,-0.022,0.981,0.96,0.006,0.251,1368.393,-0.511955488110642,0.469508329209502,-0.0223111566413482
