"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha114",-0.018647570969444,-0.009,0.817,0.86,0.009,0.2086,1246.912,-0.416853056272149,0.400518130533423,-0.00894036211292434
"alpha115",-0.0363752963060735,-0.04,0.808,0.86,-0.004,0.2063,1207.115,-0.444560207397796,0.363466841180874,-0.0407469534374427
"alpha116",-0.0373918988930258,-0.041,0.808,0.84,-0.003,0.2064,1225.881,-0.444638886100666,0.363762469403146,-0.0407743533904275
"alpha117",-0.0605018789456851,-0.067,0.815,0.83,-0.006,0.2086,1290.21,-0.477810831150037,0.337436588285389,-0.0671285879174334
"alpha118",-0.0115222056760233,-0.009,0.807,0.94,0.002,0.2065,1241.112,-0.411164438486804,0.395377008633717,-0.00867120224791344
"alpha119",0.0140948211072927,0.063,0.807,0.86,0.049,0.2064,1239.728,-0.340467692855843,0.466903653876389,0.0630510302561571
"alpha12",-0.0646013779463729,-0.016,1.309,0.92,0.049,0.3339,936.28,-0.677659213314015,0.631470828937092,-0.0178894723377615
"alpha120",-0.0333255952477289,-0.026,0.813,0.89,0.008,0.208,1233.839,-0.430520962410379,0.382176739409186,-0.0251885391316765
"alpha121",0.0442615828633278,0.017,0.813,0.87,-0.028,0.2078,1217.198,-0.389835085335839,0.423004861646037,0.0165649067538001
"alpha122",0.0153312462310165,0.008,0.814,0.84,-0.007,0.2083,1253.742,-0.399314771445972,0.414339524329783,0.00801517598983017
"alpha123",0.0559400298946288,0.001,0.814,0.85,-0.055,0.2081,1227.895,-0.407149059726092,0.406998111446763,0.000479749248645961
"alpha124",-0.0244942508666603,-0.025,0.811,0.89,-0.001,0.2075,1201.028,-0.430488628042313,0.380843848840798,-0.0244618535391681
"alpha125",-0.0648375146653215,-0.071,0.811,0.89,-0.007,0.2076,1214.253,-0.475524152895879,0.335954277906711,-0.0709553295160288
"alpha126",0.00856149713317872,0.006,0.807,0.84,-0.002,0.2062,1197.367,-0.397283001011435,0.409439411115324,0.00615953613969291
